PTK2	effect	PIK3CD
PTK2	activation	PIK3R1
PTK2	effect	PIK3R1
PTK2	activation	PIK3R3
PTK2	effect	PIK3R3
DLL3	activation	NOTCH1
DLL3	effect	NOTCH1
DLL3	activation	NOTCH2
DLL3	effect	NOTCH2
DLL3	activation	NOTCH3
DLL3	effect	NOTCH3
DLL1	activation	NOTCH1
DLL1	effect	NOTCH1
DLL1	activation	NOTCH2
DLL1	effect	NOTCH2
DLL1	activation	NOTCH3
DLL1	effect	NOTCH3
DLL4	activation	NOTCH1
DLL4	effect	NOTCH1
DLL4	activation	NOTCH2
DLL4	effect	NOTCH2
DLL4	activation	NOTCH3
DLL4	effect	NOTCH3
CHUK	activation	NFKB1
CHUK	activation	RELA
IKBKB	activation	NFKB1
IKBKB	activation	RELA
IKBKG	activation	NFKB1
IKBKG	activation	RELA
ATM	activation	TP53
TP53	activation	BAX
TP53	activation	BAK1
TP53	activation	PMAIP1
TP53	activation	BBC3
BCL2	activation	BAK1
CASP9	activation	CASP3
BAD	activation	BCL2L1
BAD	activation	BCL2
BIRC2	activation	CASP3
BIRC2	activation	CASP9
XIAP	activation	CASP3
XIAP	activation	CASP9
BIRC5	activation	CASP3
BIRC5	activation	CASP9
APAF1	activation	CASP9
CYCS	activation	APAF1
CYCS	effect	APAF1
CYCS	activation	CASP9
CYCS	effect	CASP9
PMAIP1	inhibition	BCL2L1
PMAIP1	effect	BCL2L1
PMAIP1	inhibition	BCL2
BBC3	inhibition	BCL2L1
BBC3	inhibition	BCL2
BCL2L1	inhibition	BAX
BCL2L1	inhibition	BAK1
ERBB2	inhibition	PIK3CA
ERBB2	inhibition	PIK3CB
ERBB2	inhibition	PIK3CD
ERBB2	inhibition	PIK3R1
ERBB2	inhibition	MAPK1
ERBB2	effect	MAPK1
ERBB2	inhibition	MAPK3
ERBB2	effect	MAPK3
PIK3CA	inhibition	PDPK1
PIK3CA	effect	PDPK1
PIK3CB	inhibition	PDPK1
PIK3CD	inhibition	PDPK1
PIK3R1	inhibition	PDPK1
PIK3R3	inhibition	PDPK1
PDPK1	inhibition	AKT3
PDPK1	inhibition	AKT1
PDPK1	inhibition	AKT2
AKT3	inhibition	CDKN1A
AKT3	inhibition	BAD
AKT3	inhibition	CASP9
AKT3	inhibition	BIRC2
AKT3	activation	XIAP
AKT3	activation	BIRC5
AKT1	activation	CDKN1A
AKT1	activation	CASP9
AKT1	activation	BIRC2
AKT1	activation	XIAP
AKT1	activation	BIRC5
AKT2	activation	CDKN1A
AKT2	activation	CASP9
AKT2	activation	BIRC2
AKT2	activation	XIAP
AKT2	activation	BIRC5
MAPK1	activation	BAD
MAPK3	activation	BAD
CDKN1A	activation	CASP3
CDKN1A	activation	MAP3K5
FIP1L1	activation	WDR82
FIP1L1	effect	WDR82
PABPC1L	activation	TOB1
PABPC1L	activation	TOB2
PABPC1L	activation	BTG3
PABPC1L	activation	BTG1
PABPC1L	activation	BTG2
PABPC1L	activation	PAN3
PABPC1L	activation	CNOT7
PABPC1L	activation	CNOT8
PABPC4	activation	TOB1
PABPC4	activation	TOB2
PABPC4	activation	BTG3
PABPC4	activation	BTG1
PABPC4	activation	BTG2
PABPC4	activation	PAN3
PABPC4	activation	CNOT7
PABPC4	activation	CNOT8
HGS	effect	TSG101
CDK9	effect	NELFB
CDK9	effect	NELFCD
CDK9	effect	NELFA
CDK9	effect	NELFE
CDK9	effect	SUPT4H1
PPARA	activation	HMGCS1
PPARA	effect	HMGCS1
PPARA	activation	PLTP
PPARA	activation	ME3
PPARA	activation	ME1
PPARA	activation	SCD
PPARA	activation	SCD5
PPARA	activation	FADS2
PPARA	activation	NR1H3
PPARA	activation	DBI
PPARA	activation	SLC27A4
PPARA	activation	SLC27A1
PPARA	activation	LPL
PPARA	activation	ACSL1
PPARA	activation	ACSL3
PPARA	activation	ACSL4
PPARA	activation	ACSL5
PPARA	activation	ACSBG2
PPARA	activation	EHHADH
PPARA	activation	ACAA1
PPARA	activation	SCP2
PPARA	activation	ACOX1
PPARA	activation	ACOX2
PPARA	activation	ACOX3
PPARA	activation	CPT1C
PPARA	activation	CPT1A
PPARA	activation	CPT2
PPARA	activation	ACADM
RXRA	activation	HMGCS1
RXRA	activation	PLTP
RXRA	activation	ME3
RXRA	activation	ME1
RXRA	activation	SCD
RXRA	activation	SCD5
RXRA	activation	FADS2
RXRA	activation	NR1H3
RXRA	activation	DBI
RXRA	activation	SLC27A4
RXRA	activation	SLC27A1
RXRA	activation	LPL
RXRA	activation	ACSL1
RXRA	activation	ACSL3
RXRA	activation	ACSL4
RXRA	activation	ACSL5
RXRA	activation	ACSBG2
RXRA	activation	EHHADH
RXRA	activation	ACAA1
RXRA	activation	SCP2
RXRA	activation	ACOX1
RXRA	activation	ACOX2
RXRA	activation	ACOX3
RXRA	activation	CPT1C
RXRA	activation	CPT1A
RXRA	activation	CPT2
RXRA	activation	ACADM
RXRA	activation	FABP3
RXRA	activation	ILK
RXRA	activation	PDPK1
RXRA	activation	UBC
RXRA	activation	CYP27A1
RXRA	activation	PLIN2
RXRA	activation	SORBS1
RXRA	activation	PCK2
RXRA	activation	GK
RXRB	activation	HMGCS1
RXRB	activation	PLTP
RXRB	activation	ME3
RXRB	activation	ME1
RXRB	activation	SCD
RXRB	activation	SCD5
RXRB	activation	FADS2
RXRB	activation	NR1H3
RXRB	activation	DBI
RXRB	activation	SLC27A4
RXRB	activation	SLC27A1
RXRB	activation	LPL
RXRB	activation	ACSL1
RXRB	activation	ACSL3
RXRB	activation	ACSL4
RXRB	activation	ACSL5
RXRB	activation	ACSBG2
RXRB	activation	EHHADH
RXRB	activation	ACAA1
RXRB	activation	SCP2
RXRB	activation	ACOX1
RXRB	activation	ACOX2
RXRB	activation	ACOX3
