cell_type,rank,Gene1,Gene2,EdgeWeight
ge_in,64485,KMT2A,AC068234.2,-1.1116623625006063
ge_in,64486,KMT2A,TBR1,-1.1117086584695177
ge_in,64487,BCL11A,LRFN3,-1.111722201322545
ge_in,64488,ASH1L,TMEM211,-1.111789538381493
ge_in,64489,KDM5B,AC089983.1,-1.111805349010536
ge_in,64490,ASH1L,KANK3,-1.1118296781518657
ge_in,64491,KDM5B,LINC01411,-1.1118302679575789
ge_in,64492,KMT2A,NEFM,-1.1119016114954068
ge_in,64493,BCL11A,GALK1,-1.1119098357412278
ge_in,64494,ASH1L,EEF2KMT,-1.1119122046163818
ge_in,64495,ASH1L,ADRA2A,-1.1120231016910977
ge_in,64496,ASH1L,CCDC61,-1.1120303576607782
ge_in,64497,KDM5B,NPHP1,-1.1121257891117624
ge_in,64498,KDM5B,DEPDC1B,-1.112164168724016
ge_in,64499,MYT1L,TMEM199,-1.1122778521557595
ge_in,64500,MYT1L,AATK,-1.1123767635912776
ge_in,64501,KDM5B,AC023906.3,-1.1124607824215236
ge_in,64502,KMT2A,KANK3,-1.1125204974630243
ge_in,64503,KMT2A,IRGQ,-1.1126012616344414
ge_in,64504,KMT2A,MYOCOS,-1.1126951522336874
ge_in,64505,KMT2A,RMDN2-AS1,-1.1127453890526322
ge_in,64506,KDM5B,TNIP2,-1.112807083762244
ge_in,64507,KDM5B,TRIM17,-1.1129021297195631
ge_in,64508,BCL11A,ATP7A,-1.1129271133322636
ge_in,64509,KDM5B,AC010967.1,-1.112970597760868
ge_in,64510,BCL11A,AC004834.1,-1.1130067978660965
ge_in,64511,BCL11A,AC008403.3,-1.1130404453824498
ge_in,64512,BCL11A,GPR157,-1.113070690586653
ge_in,64513,ASH1L,AC007344.1,-1.113103407765486
ge_in,64514,KDM5B,SLC29A2,-1.1131515552349365
ge_in,64515,MYT1L,CCNA2,-1.1132305771667363
ge_in,64516,MYT1L,Z97989.1,-1.113294863343569
ge_in,64517,ASH1L,PTPRM,-1.1133665647785067
ge_in,64518,MYT1L,AC010132.3,-1.1135961989148757
ge_in,64519,BCL11A,GCNT7,-1.1136135534670717
ge_in,64520,BCL11A,AL591686.2,-1.113654538986748
ge_in,64521,ASH1L,AC110079.2,-1.1136656663501854
ge_in,64522,KDM5B,CTU1,-1.1137642564613566
ge_in,64523,KMT2A,PHACTR2,-1.1138240914786648
ge_in,64524,KMT2A,PNP,-1.114055901935879
ge_in,64525,KMT2A,AC092070.3,-1.114112810986276
ge_in,64526,KDM5B,ZBTB46,-1.1142328381521873
ge_in,64527,MYT1L,BBS4,-1.1143248276859856
ge_in,64528,ASH1L,PRKCD,-1.114365747361579
ge_in,64529,KDM5B,DPP3,-1.1144322629231493
ge_in,64530,KMT2A,AC114956.2,-1.1145150038779037
ge_in,64531,ASH1L,HSD17B1,-1.114573308692681
ge_in,64532,BCL11A,MAFF,-1.1146753709936847
ge_in,64533,BCL11A,RIC3,-1.114859993728475
ge_in,64534,KDM5B,AL034417.2,-1.114999429103976
ge_in,64535,BCL11A,AC018816.1,-1.1151303793652567
ge_in,64536,MYT1L,AL031772.1,-1.115291474603585
ge_in,64537,KMT2A,PDLIM1,-1.1153424826224665
ge_in,64538,BCL11A,SERTAD3,-1.1153568521711184
ge_in,64539,KDM5B,AC016588.2,-1.1156548024986928
ge_in,64540,KDM5B,NPAS1,-1.116144239890953
ge_in,64541,MYT1L,ACKR1,-1.116171835161573
ge_in,64542,KDM5B,COL4A1,-1.1163598660417484
ge_in,64543,BCL11A,NDP,-1.1163764765944177
ge_in,64544,ASH1L,ARAP2,-1.1164994326581512
ge_in,64545,ASH1L,NLRX1,-1.1165332157838777
ge_in,64546,ASH1L,CTAGE1,-1.116564645871726
ge_in,64547,ASH1L,MFAP3L,-1.1165967106608186
ge_in,64548,KMT2A,LINC00908,-1.1166162695487987
ge_in,64549,MYT1L,MMAA,-1.1166733526043704
ge_in,64550,ASH1L,AL121944.1,-1.1166908717151247
ge_in,64551,ASH1L,METRNL,-1.1166909410227575
ge_in,64552,KDM5B,SYT7,-1.1168551183259947
ge_in,64553,BCL11A,AC004540.1,-1.1169266348155003
ge_in,64554,BCL11A,GCC2-AS1,-1.1169455439274483
ge_in,64555,KDM5B,MUC6,-1.1171410115029734
ge_in,64556,KMT2A,KCNQ1,-1.117148694363625
ge_in,64557,KDM5B,AC013652.1,-1.1171745709666536
ge_in,64558,ASH1L,SBF1,-1.117287807105423
ge_in,64559,KMT2A,AC092720.2,-1.1173527647703099
ge_in,64560,KDM5B,TBL3,-1.117474499805176
ge_in,64561,KMT2A,WDR64,-1.1176054194147385
ge_in,64562,MYT1L,ERG,-1.1176202776887578
ge_in,64563,ASH1L,AC073082.1,-1.1176282314899444
ge_in,64564,KMT2A,MICA,-1.1176456801220085
ge_in,64565,ASH1L,AC093249.2,-1.1177129131445867
ge_in,64566,BCL11A,FSTL5,-1.1178603703491385
ge_in,64567,KMT2A,MED17,-1.1179676951006177
ge_in,64568,KDM5B,TMEM238,-1.1180095832937824
ge_in,64569,BCL11A,PALM3,-1.1180652869758612
ge_in,64570,BCL11A,CRYGS,-1.1181055413194103
ge_in,64571,KMT2A,AC073342.1,-1.1184379864682126
ge_in,64572,BCL11A,VWA3B,-1.1184614367968475
ge_in,64573,BCL11A,AC062029.1,-1.118537370395215
ge_in,64574,MYT1L,LAYN,-1.1187322034329212
ge_in,64575,KMT2A,AL391684.1,-1.1187928087853365
ge_in,64576,KDM5B,CHRM3,-1.1188255491648216
ge_in,64577,BCL11A,PLK4,-1.1189788975283081
ge_in,64578,KMT2A,RTKN2,-1.1190603834734398
ge_in,64579,BCL11A,RHPN2,-1.1191198682813177
ge_in,64580,KMT2A,AC025048.4,-1.1191627401929718
ge_in,64581,KDM5B,PNMA8C,-1.1193585576321898
ge_in,64582,KDM5B,AL513314.2,-1.1193621336298734
ge_in,64583,KMT2A,MACC1,-1.1194035648060312
ge_in,64584,BCL11A,SLC25A21-AS1,-1.1194428605821458
ge_in,64585,ASH1L,GLDN,-1.1194506404485052
ge_in,64586,BCL11A,C2ORF16,-1.1195161588651759
ge_in,64587,KMT2A,UBR5-AS1,-1.119528940752264
ge_in,64588,BCL11A,LACTB,-1.1196619793990599
ge_in,64589,KDM5B,C19ORF38,-1.1197793567934373
ge_in,64590,MYT1L,GLIPR1,-1.1198303774993352
ge_in,64591,KDM5B,AC007541.1,-1.1200032165953413
ge_in,64592,KDM5B,AF233439.1,-1.1200383191104135
ge_in,64593,ASH1L,NUDT22,-1.1200499283583467
ge_in,64594,KMT2A,LINC01725,-1.1200733758130552
ge_in,64595,MYT1L,CFAP410,-1.1201899045467205
ge_in,64596,MYT1L,TBCEL,-1.1202485838715945
ge_in,64597,KMT2A,AC012467.2,-1.120252405501207
ge_in,64598,BCL11A,PINX1.1,-1.1203982475045942
ge_in,64599,KMT2A,ZIM2,-1.1205743002706743
ge_in,64600,ASH1L,C9ORF116,-1.1206318750021411
ge_in,64601,MYT1L,AC007014.1,-1.120749686772889
ge_in,64602,KMT2A,AC019330.1,-1.1207761283410453
ge_in,64603,KMT2A,ITGA1,-1.1208367788182358
ge_in,64604,BCL11A,AC254562.3,-1.1208683697186945
ge_in,64605,KMT2A,ATG9A,-1.1210580082157002
ge_in,64606,KMT2A,AC006160.1,-1.1210792545499426
ge_in,64607,BCL11A,COL4A4,-1.12110892486812
ge_in,64608,KDM5B,SLC22A16,-1.1211181290269292
ge_in,64609,MYT1L,AC079594.2,-1.1211995370188428
ge_in,64610,KDM5B,TRIM67,-1.1212685634372086
ge_in,64611,BCL11A,REEP6,-1.1212976212047188
ge_in,64612,ASH1L,AC092070.3,-1.1214204635504066
ge_in,64613,KDM5B,EFCAB14-AS1,-1.1214506518318512
ge_in,64614,BCL11A,ADGRG3,-1.121538200825384
ge_in,64615,KDM5B,CILP2,-1.1215690888268828
