cell_type,rank,Gene1,Gene2,EdgeWeight
ctx_ip,22912,BCL11A,H1-2,3.915704605321771
ctx_ip,22913,ASH1L,RNF141,3.9157002503979093
ctx_ip,22914,MYT1L,RBM12B,3.9156358504343407
ctx_ip,22915,ASH1L,DPYSL5,3.915476908984474
ctx_ip,22916,MYT1L,PLEKHA6,3.9154486781182722
ctx_ip,22917,KDM5B,WDR44,3.9154044177627467
ctx_ip,22918,BCL11A,GPR162,3.915306548125089
ctx_ip,22919,BCL11A,SFMBT2,3.914881030165382
ctx_ip,22920,KDM5B,ZNF569,3.9145721242890117
ctx_ip,22921,MYT1L,MSRB2,3.914299777978669
ctx_ip,22922,KDM5B,TXNL4B,3.914045869870079
ctx_ip,22923,ASH1L,IQSEC2,3.9139961866443236
ctx_ip,22924,ASH1L,GTF2E2,3.9139718250197797
ctx_ip,22925,KMT2A,SOD2.1,3.913812205520209
ctx_ip,22926,KDM5B,FAP,3.9136705391621023
ctx_ip,22927,KDM5B,LUC7L2,3.9135284405770454
ctx_ip,22928,ASH1L,CCDC90B,3.913519716848793
ctx_ip,22929,KDM5B,TADA2A,3.913429336161195
ctx_ip,22930,MYT1L,ARHGAP23,3.9133192090863633
ctx_ip,22931,MYT1L,ZFP1,3.9126236374724854
ctx_ip,22932,KMT2A,MSRA,3.9123756004293884
ctx_ip,22933,ASH1L,RNF121,3.912364209482894
ctx_ip,22934,KMT2A,FADS2,3.91227456772756
ctx_ip,22935,MYT1L,AKAP7,3.9120282742122403
ctx_ip,22936,ASH1L,TCP11L1,3.9119555968231277
ctx_ip,22937,KMT2A,DAGLB,3.911860228527075
ctx_ip,22938,BCL11A,NTNG2,3.9115817609687618
ctx_ip,22939,BCL11A,CNST,3.9115509643415756
ctx_ip,22940,BCL11A,RPIA,3.911321974687254
ctx_ip,22941,KDM5B,BTG2,3.9111245409828737
ctx_ip,22942,KMT2A,EWSR1,3.911097079473178
ctx_ip,22943,KMT2A,UBE2N,3.911071732236775
ctx_ip,22944,ASH1L,TRMT1L,3.9109803195474493
ctx_ip,22945,MYT1L,C18ORF25,3.9107017180245003
ctx_ip,22946,ASH1L,RNF20,3.90995494846585
ctx_ip,22947,MYT1L,ELMO2,3.9099009053417477
ctx_ip,22948,ASH1L,XRCC1,3.9096042656773045
ctx_ip,22949,BCL11A,ATG4B,3.9095985261877755
ctx_ip,22950,KDM5B,DPYSL5,3.909596908101824
ctx_ip,22951,BCL11A,MYSM1,3.909543066110835
ctx_ip,22952,KMT2A,MAP2K4,3.9094323210543425
ctx_ip,22953,KDM5B,RNH1,3.9093074982549934
ctx_ip,22954,KDM5B,ZNF738,3.90926807191597
ctx_ip,22955,BCL11A,KLHL42,3.9091738055344796
ctx_ip,22956,ASH1L,BAG4,3.909171965172553
ctx_ip,22957,MYT1L,CNST,3.909031480397925
ctx_ip,22958,ASH1L,AC023034.2,3.9090118123125777
ctx_ip,22959,KDM5B,WDR18,3.9088651399106014
ctx_ip,22960,BCL11A,DDAH1,3.908796551570215
ctx_ip,22961,BCL11A,UBQLN2,3.908717301007441
ctx_ip,22962,BCL11A,ARNT2,3.908587883037281
ctx_ip,22963,KDM5B,HEBP2,3.9084668542727847
ctx_ip,22964,ASH1L,FBXO34,3.9084590577505756
ctx_ip,22965,KDM5B,CETN2,3.908234470302818
ctx_ip,22966,KDM5B,ZNF529,3.9080846211177396
ctx_ip,22967,KDM5B,SHF,3.9079118028374755
ctx_ip,22968,ASH1L,PRKAG2,3.90785499537566
ctx_ip,22969,BCL11A,SUMF2,3.9075532941203943
ctx_ip,22970,KMT2A,ZNF782,3.9075460047908415
ctx_ip,22971,MYT1L,DMAC2,3.9071741284814947
ctx_ip,22972,BCL11A,SURF6,3.907119353029482
ctx_ip,22973,ASH1L,FIG4,3.9070906566050887
ctx_ip,22974,BCL11A,KIZ-AS1,3.9068051998019757
ctx_ip,22975,BCL11A,ABRAXAS2,3.905792545085301
ctx_ip,22976,KMT2A,ERG28,3.9057839884818244
ctx_ip,22977,MYT1L,METTL2A,3.9056968245138406
ctx_ip,22978,KMT2A,USP10,3.9055630698728088
ctx_ip,22979,MYT1L,KCNK2,3.9055315041543506
ctx_ip,22980,KDM5B,E2F3,3.90529946053862
ctx_ip,22981,BCL11A,AC073343.2,3.9052097514953017
ctx_ip,22982,ASH1L,LAMP1,3.905192152216283
ctx_ip,22983,MYT1L,COX11,3.9051137842693926
ctx_ip,22984,MYT1L,KLHL13,3.904796748401646
ctx_ip,22985,KMT2A,HIVEP2,3.9046525291352823
ctx_ip,22986,KDM5B,C6ORF226,3.9045937812595595
ctx_ip,22987,BCL11A,C3ORF67,3.904202665903052
ctx_ip,22988,BCL11A,LIMK2,3.904085316200706
ctx_ip,22989,MYT1L,FN3K,3.904009107461709
ctx_ip,22990,BCL11A,SMC6,3.9038864193969487
ctx_ip,22991,BCL11A,PBX3,3.903501408722189
ctx_ip,22992,MYT1L,EIPR1,3.9032960398477963
ctx_ip,22993,MYT1L,SEPHS1,3.9031866522388383
ctx_ip,22994,ASH1L,CHMP2A,3.9031326711506633
ctx_ip,22995,MYT1L,PDLIM7,3.9031135074581407
ctx_ip,22996,KMT2A,CDCA7L,3.902948781706538
ctx_ip,22997,KDM5B,COPZ1,3.9029386822450745
ctx_ip,22998,BCL11A,AL157938.3,3.9029063309197505
ctx_ip,22999,KMT2A,SLC5A4-AS1,3.9025074895478262
ctx_ip,23000,KMT2A,LRRN2,3.902366417850662
ctx_ip,23001,KMT2A,TMEM165,3.9023167780031915
ctx_ip,23002,KMT2A,SRGAP2C,3.9019729142709
ctx_ip,23003,KMT2A,MGAT4B,3.9018317452973434
ctx_ip,23004,KMT2A,CCDC144NL,3.9016506486863145
ctx_ip,23005,MYT1L,GTPBP10,3.901481190708409
ctx_ip,23006,KDM5B,LMO2,3.9013967170564854
ctx_ip,23007,KMT2A,GAPVD1,3.901140770946397
ctx_ip,23008,BCL11A,HAUS2,3.9010442084289116
ctx_ip,23009,KMT2A,MYO16,3.900981491381642
ctx_ip,23010,BCL11A,AFG3L2,3.9008624769593676
ctx_ip,23011,ASH1L,SELENOM,3.900824802723307
ctx_ip,23012,KDM5B,TLE3,3.900787645961619
ctx_ip,23013,KDM5B,LGALS3,3.900622189324011
ctx_ip,23014,KMT2A,USO1,3.900496196104859
ctx_ip,23015,KDM5B,LINC00937,3.9002895407914417
ctx_ip,23016,KMT2A,PTS,3.9002879724814425
ctx_ip,23017,BCL11A,TP53RK,3.8996160684166523
ctx_ip,23018,MYT1L,CYP20A1,3.899503025541916
ctx_ip,23019,KMT2A,XPO4,3.8990484067615463
ctx_ip,23020,BCL11A,GRAMD1A,3.8989130467135444
ctx_ip,23021,ASH1L,ZNF429,3.8987754079231522
ctx_ip,23022,KDM5B,ANKFY1,3.8986372780294127
ctx_ip,23023,KDM5B,AC139887.2,3.8984653656301655
ctx_ip,23024,MYT1L,DLL3,3.898458010342393
ctx_ip,23025,BCL11A,EYA3,3.8982128453152796
ctx_ip,23026,KDM5B,USP51,3.8976181818180002
ctx_ip,23027,MYT1L,COA4,3.897569398433579
ctx_ip,23028,KDM5B,SPATA5,3.897257042355243
ctx_ip,23029,BCL11A,FRMD6,3.8967986404125146
ctx_ip,23030,MYT1L,SYF2,3.89603082475348
ctx_ip,23031,ASH1L,HIVEP3,3.8960252237447017
ctx_ip,23032,MYT1L,PHLDB1,3.8959786495466386
ctx_ip,23033,ASH1L,STK25,3.8958649776159406
ctx_ip,23034,KMT2A,LPIN1,3.8958461329042535
ctx_ip,23035,BCL11A,PAF1,3.8957404484903506
ctx_ip,23036,KDM5B,PTTG1,3.895676323811554
ctx_ip,23037,ASH1L,NSFL1C,3.895373296830697
ctx_ip,23038,KMT2A,SF1,3.895294812014472
ctx_ip,23039,KDM5B,AC009163.4,3.895254677674945
ctx_ip,23040,KDM5B,ZSWIM8,3.8952201877822783
ctx_ip,23041,ASH1L,LRIG2,3.8950809961483825
ctx_ip,23042,BCL11A,GNPDA2,3.8944768331509674
ctx_ip,23043,ASH1L,ALKBH5,3.8944026212361926
ctx_ip,23044,MYT1L,EMC2,3.894361192781286
ctx_ip,23045,KDM5B,GLI2,3.894346240078271
ctx_ip,23046,BCL11A,LSM1,3.8941944315123997
ctx_ip,23047,BCL11A,C5ORF24,3.894166104702573
ctx_ip,23048,KMT2A,MTMR7,3.894030039116612
ctx_ip,23049,KDM5B,ATPAF1,3.8932761700865446
ctx_ip,23050,MYT1L,ZBTB26,3.893116277422386
ctx_ip,23051,KDM5B,ABHD2,3.8925753714220677
ctx_ip,23052,BCL11A,C12ORF73,3.8925500598639475
ctx_ip,23053,BCL11A,SLC25A32,3.892306131435466
ctx_ip,23054,KDM5B,ZNHIT3,3.8920190125695475
ctx_ip,23055,MYT1L,RMND5B,3.8919384895018365
ctx_ip,23056,ASH1L,NUP153,3.891885649433714
ctx_ip,23057,BCL11A,BACE1,3.89173868235362
ctx_ip,23058,KDM5B,H3-3A,3.891702574531961
ctx_ip,23059,KDM5B,SFMBT1,3.8915164319923448
ctx_ip,23060,KDM5B,PDIA3,3.891490835178989
ctx_ip,23061,BCL11A,PLPP5,3.8912894675678786
ctx_ip,23062,BCL11A,AKAP5,3.891000780815889
ctx_ip,23063,ASH1L,GOT2,3.8908923343229325
ctx_ip,23064,ASH1L,RAVER2,3.890836980572983
ctx_ip,23065,MYT1L,INTS6,3.890601349188326
ctx_ip,23066,MYT1L,AC013727.1,3.8903099555302982
ctx_ip,23067,MYT1L,ATXN7L1,3.890250250950774
ctx_ip,23068,KDM5B,ZMAT5,3.8899519123729593
ctx_ip,23069,KDM5B,UTP6,3.8895035626096304
ctx_ip,23070,KDM5B,CCDC57,3.889333686150065
ctx_ip,23071,BCL11A,DUSP26,3.8890874395518957
ctx_ip,23072,KMT2A,ZFR2,3.8889801673349873
ctx_ip,23073,ASH1L,TUBGCP3,3.888947902477212
ctx_ip,23074,MYT1L,DNMT1,3.888920532748165
ctx_ip,23075,MYT1L,GLYATL2,3.8888365461309946
ctx_ip,23076,BCL11A,ZNF823,3.8886906762677818
ctx_ip,23077,ASH1L,PDCD4,3.888458223478777
ctx_ip,23078,ASH1L,ZRANB3,3.888450894504659
ctx_ip,23079,ASH1L,MRPL47,3.8881925291739456
ctx_ip,23080,BCL11A,TMA16,3.8877943692559835
ctx_ip,23081,ASH1L,LINC01248,3.887633976252667
ctx_ip,23082,BCL11A,PCF11,3.88744469509586
ctx_ip,23083,MYT1L,SRC,3.8873400041280046
ctx_ip,23084,MYT1L,LINC00513.1,3.887294490412526
ctx_ip,23085,KDM5B,ZNF592,3.8872467819895706
